[01. 设有两个串$ S_{1} $和$ S_{2} $，求$ S_{2} $在$ S_{1} $中首次出现的位置的运算称为()。<br>A. 求子串<br>B. 判断是否相等<br>C. 模式匹配<br>D. 连接]::(C)	• <strong>模式匹配</strong>：定位子串在主串中的起始位置<br>• 区别于"求子串"（截取部分串）、"连接"（拼接串）	122
[02. KMP算法的特点是在模式匹配时，指示主串的指针()。<br>A. 不会变大<br>B. 不会变小<br>C. 都有可能<br>D. 无法判断]::(B)	• 主串指针<strong>始终单向移动不回溯</strong><br>• 匹配失败时仅移动模式串指针（next值决定）	122
[03. 设主串的长度为n，子串的长度为m，则简单的模式匹配算法的时间复杂度为()，KMP算法的时间复杂度为()。<br>A. O(m)<br>B. O(n)<br>C. O(mn)<br>D. O(m+n)]::(C,D)	• 朴素匹配：<anki-mathjax>O(mn)</anki-mathjax>（主串频繁回溯）<br>• KMP匹配：<anki-mathjax>O(m+n)</anki-mathjax>（主串无回溯）	122
[04. 在KMP匹配中，用next数组存放模式串的部分匹配信息，当模式串位于与主串位i比较时，两个字符不相等，则j的位移方式是()。<br>A. j=0<br>B. j=j+1<br>C. j不变<br>D. j=next[j]]::(D)	• 匹配失败时：<strong>j = next[j]</strong><br>• 原理：跳过已匹配前缀的后缀（部分匹配值决定）	122
[05. 在KMP匹配中，用next数组存放模式串的部分匹配信息，当模式串位于与主串位i比较时，两个字符不相等，则i的位移方式是()。<br>A. i=next[i]<br>B. i不变<br>C. i=0<br>D. i=i+1]::(B)	• 主串指针<strong>i不回溯</strong>，仅移动模式串指针j	122
[06. 已知串$ S='aaab' $，其next数组值为()。<br>A. 0122<br>B. 0112<br>C. 0231<br>D. 1211]::(A)	next计算过程：<br>• j=1: next[1]=0<br>• j=2: <code>p<sub>1</sub>=p<sub>2</sub>='a'</code> → next[2]=1<br>• j=3: <code>p<sub>2</sub>=p<sub>3</sub>='a'</code> → next[3]=2<br>• j=4: <code>p<sub>3</sub>=p<sub>4</sub>='a'</code> → next[4]=3	122
[07. 串'ababaaababaa'的next数组值为()。<br>A. 01224567899<br>B. 012121111212<br>C. 011224223456<br>D. 0122012222345]::(C)	• 最长相等前后缀长度：<br>  <code>[a]=0, [ab]=0, [aba]=1, [abab]=2, [ababa]=3, [ababaa]=1, ⋯</code><br>• 右移填充：<strong>011224223456</strong>（下标从1开始）	125
[08. 串'ababaaababaa'的next数组为()。<br>A. -1,0,1,2,3,4,5,6,7,8,8,8<br>B. -1,0,1,0,1,0,0,0,0,1,0,1,0<br>C. -1,0,0,1,2,3,1,1,2,3,4,5<br>D. -1,0,1,2,-1,0,1,2,1,1,2,3]::(C)	• 等价于07题值<strong>整体-1</strong>：<br>  <code>0-1=-1, 1-1=0, ⋯, 6-1=5</code><br>• 位序从0开始时无需整体+1	125
[09. 串'ababaaababaa'的nextval数组为()。<br>A. 0,1,0,1,1,2,0,1,0,2<br>B. 0,1,0,1,1,4,1,1,0,1,0,2<br>C. 0,1,0,1,0,4,2,1,0,1,0,4<br>D. 0,1,1,1,0,2,1,1,0,1,0,4]::(C)	推导规则：<br>1. 若<code>p<sub>j</sub> ≠ p<sub>next[j]</sub></code>：nextval[j]=next[j]<br>2. 若相等：nextval[j]=nextval[next[j]]<br>• 结果：<strong>0,1,0,1,0,4,2,1,0,1,0,4</strong>	125
[10. [2015统考真题]已知字符串S为'abaabaabacacaabaabcc'，模式串t为'abaabc'，采用KMP算法进行匹配，第一次出现“失配”(s[i]≠t[j])时，i=j=5，则下次开始匹配时，i和j的值分别是()。<br>A. i=1，j=0<br>B. i=5，j=0<br>C. i=5，j=2<br>D. i=6，j=2]::(C)	• 位序从0开始：<code>next[5]=2</code><br>• 主串<strong>i=5（不变）</strong><br>• 模式串<strong>j=next[5]=2</strong>	122
[11. [2019统考真题]设主串$ T='abaabaabcabaabc' $，模式串$ S='abaabc' $，采用KMP算法进行模式匹配，到匹配成功时为止，在匹配过程中进行的单个字符间的比较次数是()。<br>A. 9<br>B. 10<br>C. 12<br>D. 15]::(B)	比较过程：<br>1. i=0~3: 匹配"abaa"<br>2. i=4: 失配 → j=next[4]=1<br>3. i=4~5: 匹配"ba"<br>4. i=6~8: 匹配"abc"<br>• 总计<strong>10次比较</strong>	122
